index,t,i_plus,i_zero,i_minus,avg_i_plus,avg_i_zero,avg_i_minus
1,14.134725142,0.30664576365774476,0.09522192019143749,0.5981323161508177,0.30664576365774476,0.09522192019143749,0.5981323161508177
2,21.022039639,0.3001884440914756,0.12817432321179675,0.5716372326967276,0.3034171038746102,0.11169812170161712,0.5848847744237726
3,25.01085758,0.29372292305786263,0.18206250915670918,0.5242145677854282,0.3001857102690277,0.13515291751998115,0.5646613722109911
4,30.424876126,0.29802784480237154,0.26211819965275723,0.4398539555448712,0.2996462439023636,0.16689423805317516,0.5334595180444611
5,32.935061588,0.3010056270719,0.2745154514918105,0.4244789214362895,0.29991812053627087,0.18841848074090223,0.5116633987228268
6,37.586178159,0.29527258670011575,0.16374404506559873,0.5409833682342855,0.2991438648969117,0.1843060747950183,0.5165500603080699
7,40.918719012,0.301629607920505,0.12001608311459984,0.5783543089648951,0.29949897104313933,0.1751217902692442,0.5253792386876164
8,43.327073281,0.3089636989028338,0.2970288257532632,0.39400747534390296,0.3006820620256011,0.1903601697047466,0.5089577682696522
9,48.005150881,0.3620991270493951,0.3175821942173602,0.32031867873324466,0.30750618036157823,0.2044959502061481,0.48799786943227363
10,49.773832478,0.29460171973378546,0.24013490501205784,0.4652633752541567,0.30621573429879895,0.20805984568673908,0.485724420014462
11,52.970321478,0.29719801605548757,0.14771400266158047,0.5550879812829319,0.3053959417312252,0.2025738599571792,0.49203019831159556
12,56.446247697,0.29316564188861066,0.19295649456435487,0.5138778635470345,0.304376750077674,0.2017724128411105,0.4938508370812155
13,59.347044003,0.2934017899592523,0.2255582939964086,0.4810399160443391,0.30353252237625694,0.20360209600690266,0.4928653816168404
14,60.831778525,0.4371532423028757,0.26434556032897333,0.29850119736815095,0.3130768595138726,0.20794091488705058,0.4789822255990769
15,65.112544048,0.32879306906468253,0.3284984689537245,0.342708461981593,0.3141246068172599,0.21597808515816216,0.46989730802457796
16,67.079810529,0.32080072989884856,0.04011592908925464,0.6390833410118968,0.31454186450985916,0.20498670040385544,0.4804714350862854
17,69.546401711,0.2971095939816026,0.1483694140644149,0.5545209919539825,0.3135164368317264,0.20165627179565307,0.48482729137262054
18,72.067157674,0.2933282426434326,0.18913568945950573,0.5175360678970616,0.3123948704879323,0.20096068388808933,0.4866444456239784
19,75.704690699,0.42183156505646213,0.2765804849233158,0.3015879500202221,0.31815469651785494,0.20494067341625913,0.47690463006588596
20,77.144840069,0.29329340867836456,0.18988705234824235,0.5168195389733931,0.31691163212588036,0.2041879923628583,0.47890037551126136
21,79.33737502,0.32194438654910007,0.3199016304336192,0.35815398301728074,0.3171512870984146,0.2096981656043231,0.4731505472972623
22,82.910380854,0.31679463453911666,0.31210538215107003,0.37109998330981336,0.31713507561844656,0.2143530390837207,0.4685118852978328
23,84.735492981,0.3181316836277394,0.04947572003912202,0.6323925963331386,0.3171784064014593,0.20718445999482507,0.4756371336037157
24,87.425274613,0.2949694291024204,0.1667428829298202,0.5382876879677594,0.31625303234733265,0.2054993942837832,0.4782475733688842
25,88.809111208,0.43173332262634695,0.2687517389707746,0.29951493840287846,0.32087224395849323,0.20802948807126284,0.47109826797024396
26,92.491899271,0.32776119719928765,0.32731135357786467,0.3449274492228477,0.3211372036985238,0.21261725212920907,0.46624554417226716
27,94.651344041,0.2977682278375984,0.26084294074678005,0.4413888314156216,0.3202716860740451,0.21440338874467468,0.4653249251812803
